Property Type ↘️,Turnover Type,count,labor_hours_avg,labor_hours_med,materials_avg,materials_med,days_avg,days_med
Apartment,Light,2,6.359999999999999,6.359999999999999,72.38,72.38,32.0,32.0
Apartment,Heavy,1,87.61000000000001,87.61000000000001,397.0,397.0,64.0,64.0
Duplex,Standard,1,31.5,31.5,138.0,138.0,48.0,48.0
Townhouse,Standard,1,74.23,74.23,1101.0,1101.0,65.0,65.0
