Property Type ↘️,Turnover Type,count,labor_hours_avg,labor_hours_med,materials_avg,materials_med,days_avg,days_med
Apartment,,5,30.080000000000002,31.270000000000003,437.956,184.0,68.0,69.0
Furnished - Medium Term,,2,3.525,3.525,0.0,0.0,48.5,48.5
Apartment,Light,2,6.359999999999999,6.359999999999999,72.38,72.38,32.0,32.0
Duplex,,2,68.17999999999999,68.17999999999999,1185.5,1185.5,69.5,69.5
,Light,1,13.129999999999999,13.129999999999999,176.71,176.71,80.0,80.0
Apartment,Heavy,1,87.61000000000001,87.61000000000001,397.0,397.0,64.0,64.0
,Standard,1,23.330000000000002,23.330000000000002,275.0,275.0,56.0,56.0
Duplex,Standard,1,31.5,31.5,138.0,138.0,48.0,48.0
Townhouse,Standard,1,74.23,74.23,1101.0,1101.0,65.0,65.0
